new number,speaker,content
394,T.C.,"Electrolysis is the fast lane of coin cleaning. - prepare an old power adapter of between 6 and 12 volts. - clip off the plug end, separate the two wires and strip off the jacket down to the copper. - twist the wires and attach them to, if available, metal clips. - set it aside and get a shallow plastic bowl. -fill with water to a depth necessary to clean the coin you've selected and mix in salt. - plug the power supply in and keep the two clips away from each other. - dip the clips in the saltwater and note which one fizzes. - on the other clip attach a piece of metal (use something small and manageable like a key or spoon) You now have an electrolysis kit. - Stick both clips in now that they're attached and the coin should start fizzing. - The coin should be fizzing vigorously - Take the coin out and scrub it with a toothbrush dipped in some liquid soap  notice that the water soon gets dirty --> replace the water every so often and the anode, too, once it's worn away."
395,C.W.,"Effects- Electroplating changes the chemical, physical, and mechanical properties of the workpiece. An example of a chemical change is when nickel plating improves corrosion resistance. An example of a physical change is a change in the outward appearance. An example of a mechanical change is a change in tensile strength or surface hardness. Limitations- Obtaining a uniform thickness with electroplating can be difficult depending on the geometry of the object being plated. The plating metal is preferentially attracted to external corners and protrusions, but unattracted to internal corners and recesses. These difficulties can be overcome with multiple anode or a specially shaped anode that mimics the object geometry, however both of these solutions increase cost."
396,T.C.,"The electrolysis of salt water: This industry has been based around the electrolysis of brine, salty water. Brine --> sodium hydroxide + chlorine + hydrogen 2NaCl(aq) + 2H20(l) --> 2NaOH(aq) + Cl2(g) + H2(g) At the cathode: Hydrogen bubbles off: 2H+(aq) + 2e- --> H2(g) At the anode: Chlorine bubbles off: 2Cl-(aq) --> Cl2(g) + 2e- Na+ and OH- ions are left behind, which means a solution of sodium hydroxide forms. The products from the electrolysis of brine are: sodium hydroxide. chlorine. hydrogen. These products are used for many purposes: Sodium hydroxide is used for making, soaps, detergents and paper. Chlorine is used for making, PVC, solvents, bleach, drugs, hydrochloric acid , paints and dyes. Hydrogen is used for making fuel for rockets and nylon."
397,S.T.,"Putting our knowledge together The application of electrolysis in the production of chemicals is really important in industry. For example, electrolysis of concentrated sodium chloride solution as you mentioned which produces many useful chemicals. The products (directly and indirectly obtained) include hydrogen, chlorine, hydrochloric acid, sodium hydroxide nad sodium hypochlorite solution ('chlorine bleach')."
398,i.l.,I need to understand I agree with you that the cell is dead when the voltage falls to 0.8V. Can we say that all electron are used up inside the cell as the cell generate the electron ? 
399,E.M.,"Graphite or copper wire could not replace the salt bridge. First, it could not complete the circut by allowing ions to move towards one half-cell from the other, as they could only conduct electron but not ions. Second, graphite and copper strips could not provide ions that can move into the half-cell to prevent the build-up of excess positively or negatively charged ions in the solution. The reaction would stop in a very short time."
400,E.M.,"Some time ago, we had done an experiment on investigating the galvanic cell with different bridge. The two half cell are zinc (negative electrode) with zinc culphate solution, and copper (positive electrode) with copper(II) sulphate solution. The four conditions are: 1) copper bridge 2) salt bridge 3) no bridge 4) graphite bridge Observation Only the cell with a salt bridge can obtain a stable reading of 1.69V. This shows that a salt bridge is a suitable bridge. It can complete the circut, and balance the charge in both solutions. The cell with copper wire and graphite have a reading, but the reading frops rapidly over time. This shows that metal wires and graphites are not suitable to be the bridge. This is because they cannot provide ions to balance the charge in the solution, which will cause the build up of excess positively or negatively charged ions in the solution, and the reaction will stop eventually. In the cell with no bridge, the reading is 0. This shows that the bridge can complete the cell."
401,M.L.,"My Theory I think that electron can still be generate, but the amount is too small to produced a see voltage to drive a device to work"
402,M.L.,"I found out from the web that using external voltage could reverse the Redox Reaction of the rechargeable battery during discharge. That means that through charging the battery in the charger, the two electrode will be exchange. But after charging for 100-1000 times, we have to recycle it as some content may be harmful to human, and some contents may be useful to different factories."
403,M.L.,"My Theory I think that hydrogen is a more effective substance to reduce copper(II)oxide to copper as hydrogen is a stronger reducing agent. But as a manager of industrial plant, I would prefer using carbon as it is much much more cheaper than hydrogen, it worth the time to use carbon."
404,M.L.,"I agree with you, as a stronger acid(lower pH) has more H+ ions, the reaction will be continue longer, thus the cell has a longer life time."
405,J.K.,"Observation First, the lead(II) bromide is being heated and melt to molten state for electricity to pass through. Then, 2.8 Ampere of electricity passes through the molten lead(II) bromide, electrolysis occurs. The reaction release an orange gas. So, we use a filter paper soaked with lead(II) solution to test for the presence of bromine by putting on top of the reaction. It turned black which indicates the presence of bromine gas. At last, we pour the silver coloured substance out which is lead metal. PbBr2(s)-->PbBr2(l) When electrolysis occur, Reduction: Pb2+(l)+2e- --> Pb(s) Oxidation: 2Br-(l) --> Br2(g)+2e- Overall equation: Pb2+(l)+2Br-(l) --> Pb(s)+Br2(g)"
406,M.L.,"Observation First, the lead(II) bromide is being heated and melt to molten state for electricity to pass through. Then, 2.8 Ampere of electricity passes through the molten lead(II) bromide, electrolysis occurs. The reaction release an orange gas. So, we use a filter paper soaked with lead(II) solution to test for the presence of bromine by putting on top of the reaction. It turned black which indicates the presence of bromine gas. At last, we pour the silver coloured substance out which is lead metal. PbBr2(s)-->PbBr2(l) When electrolysis occur, Reduction: Pb2+(l)+2e- --> Pb(s) Oxidation: 2Br-(l) --> Br2(g)+2e- Overall equation: Pb2+(l)+2Br-(l) --> Pb(s)+Br2(g)"
407,V.N.,I am a bit confused by your response. So is it gold can be obtained from lead ores but lead cannot be made into gold?
408,T.C.,"Yes, it can't deny that it may cause pain. Also, If it is done improperly, it can result in partial to full regrowth, lasting skin damage and spread of infection. However, it is the only proven method of permanent hair removal. Since it has the best and longest track record of results and is over 125 years of clinically proven safety and effectiveness, it can be performed correctly, which requires considerable training and skill."
409,M.L.,I need to understand Will your hair on top of the head be lose permanently as you do the permanent hair removal?
410,K.C.,My Theory anodization makes use of electrolysis to thicken the impermable oxide layer on an aluminium. This protects the metal from the attack of air and water more effectively. Hence it protect aluminium from corrosion. Anode: aluminium object to be anodized. Cathode: aluminium sheet
411,K.C.,"New information I found out that there is a kind of electrolye called fast ion conductors, which is a solid electrolyte. They are materials that act as solid state electrical conductors and are used primarily in solid oxide fuel cell. Working principle Solid electrolyte they conduct due to the movement of ions through voids, or empty crystallographic positions, in their crystal lattice structure."
412,A.L.,"i have always used to method to prevent the apple from browning when making salad. After a day, the apple still not yet turn brown. But i believe this method can only slower the process,but not completely cease the browning process"
413,O.C.,It is a redox reaction. Chemical equation Ag2S(s) + Al(s) ----> Al3+(aq) + S2-(aq) + Ag(s) Determine by oxidation no. Ag : +1 --> 0 (reduction) Al : 0 --> +3 (oxidation)
414,M.L.,"As there are no content label on thoothpaste, from wikipedia, I find out that calcium and baking soda is contain in the toothpaste. My Theory The silver tarnish is being reduced by the calcium with the presence of baking soda Chemical equation Ag2S(s)+Ca(s)-->Ag2(s)+CaS(s)"
415,O.C.,"The baking soda reacts with water to make a basic solution--one having more OH- ions. Chemical equation NaHCO3 (baking soda) + H2O --> H2CO3 + Na+ + OH- The basic solution ""softens"" the hard oxide layer, and allows contact to be made between the aluminum and the silver. The reaction between baking soda and water is exothermic, which means there is energy (heat) left. The left over heat will raise the water temperature. I think the rise in water temperature increases the rate of the reaction."
416,A.L.,"Hydrogen sulphide. IT is a colorless,toxic, and flammable gas which give the smell of rotten eggs. It is found in volcanic gas and hot springs"
417,K.C.,"New information As H2S is toxic, Hydrogen sulphide present naturally in well water is often removed by ozone. An alternative method uses a filter with manganese dioxide. Both methods oxidize sulphides to less toxic sulfates."
418,O.C.,"I think this is a better way to remove silver tarnish. It converts silver sulphide back to silver by placing it with another metal. Many metals in addition to silver form compounds with sulfur. Some of them are more likely to combine with sulfur than silver does. For example, in the reaction between silver sulphide and aluminium, sulfur atoms are transferred from silver to aluminum, freeing the silver metal and forming aluminum sulfide. In this way, we can remove the tarnish without removing silver. "
419,S.T.,"Putting our knowledge together Photosynthesis is a redox reaction that produces two essentials of human life: oxygen and carbohydrates. Likewise, respiration is also a redox reaction in which living things break down molecules of food to produce energy, carbon dioxide and water. New information Enzymes can regulate the redox reactions. Redox reactions also take place in the metabolism of food for energy, with substances in teh food broken down into components the body can use."
420,O.C.,"Hydrocarbons are of prime economic importance as they encompass the constituents of the major fossil fuels eg. coal, petroleum, and its derivatives plastics, paraffin, waxes, oils."
421,S.T.,"New information Apart from combustion, explosion is also a redox reaction. In fact, explosion is a sped-up form of combustion. For a nuclear bomb, the explosion is not only the result of a redox reaction, but of something much more complex- either the splitting of atoms or the forcing together of atomic nuclei."
422,V.Y.,"some information i found online : The glass master is rotated in the plating tank while a pump circulates the plating solution over the surface of the master. As the electroforming progresses, nickel is galvanically drawn out of the solution and must be replenished to maintain a constant concentration in the plating bath. This is achieved using high purity nickel pellets (99.99% pure) suspended in the solution in non-conductive polypropylene bags called anode bags. The plating solution flows through the bag and over the glass master. The anode bags stop sediment formed during the nickel decomposition from reaching the solution and perhaps being plated onto to a master's surface. The nickel is packed firmly into the bag and forms part of the electric circuit. A DC current applied to the glass master is the source of the galvanic potential which forces nickel from the anode pellets in the bags into solution as ions and ultimately onto the master's surface as an electrically neutral metallic layer. The electron flow in the opposite direction to the current, from the cathode to the anode via the solution. electron are stripped from the nickel in the anode bag, travel through the external circuit before combining with nickel ions in the solution at the cathode end thus forming metallic nickel on the surface of the glass master. The current must start off quite low and be increased slowly and evenly to prevent the metalised surface from overheating damage. As the thickness of the nickel on the glass master increases, the current can be increased. The electroplating step is finished after approximately 1 hour. "
423,A.L.,"car battery they are recharged by the engine driven charging system. This make it different from dry cell. Moreover, to start a car, large burst of energy is required, however, dry cell couldn't drive such large current to start to car."
424,M.L.,"My Theory I recalled that car battery is wet cell 1 ansand zinc-carbon cell and alkaline maganese cell is dry cell, I think there is some difference in them that they can not be interchange. "
425,O.C.,chromophore is a part of a molecule. It is responsible for the colour of the molecule.
426,O.C.,"It is really an interesting piece of information. However, I am wondering what is the idea behind for this method to be effective?"
427,O.C.,New information Cellular respiration is also an example of redox. Glucose is oxidized to form carbon dioxide and oxygen is reduced to water. The equation for cellular respiration : C6H12O6 + 6 O2 Å® 6 CO2 + 6 H2O
428,S.T.,"Opinion I agree with you. In fact, the white Lead(II)Bromide in solid form couln't allow electricity to pass through due to its chemical structure I suppose. Thus, it is heated to molten state in order to allow electrolysis to take place. So, it shouldn't be dissolving in water. I need to understand Yet, I wonder whether the electrolysis of Lead(II)Bromide in molten state and aqeous state is the same?"
429,H.N.,"My Theory Bromine is brown in colour while bromide is colourless, so i think the brown gas does not contain any bromide because bromide is on aqueous state while bromine is in gas state "
430,S.T.,Chemical equation at the anode (oxidation): 2O2- --> O2+4e- at the cathode(reduction): Al3+ + 3e- --> Al
431,A.L.,Cathode: 2 H+ (aq) + 2 eÅ| Å® H2 (g) Anode: 2 ClÅ| (aq) Å® Cl2 (g) + 2 eÅ| Overall process: 2 NaCl (or KCl) + 2 H2O Å® Cl2 + H2 + 2 NaOH (or KOH) We can obtain Chlorine from sea water which is used to make bleach. 
432,A.L.,i think the results will be the same. As it is more difficult to oxidize oxygen than Bromine. see the table.http://en.wikipedia.org/wiki/Electrolysis
433,H.N.,"My Theory Hydrogen ion is more preferentially discharged than potassium ion because it is in a lower position in the ECS than potassium. Therefore, hygrogen gas is formed at the cathode Chloride ion is more preferentially discharged than hydroxide ion because it is in a higher position than hydroxide. Therefore chlorine is produced at the anode."
434,K.C.,"To extract aluminium, magnesium and sodium, we have to use electrolysis. Working principle For instance for aluminium, the common ore of aluminium oxide mainly. Electrolysis is carried out in a large steel tank. The tank is lined with graphite, which acts as the negative electrode. Huge blocks of graphite hang in the middle of the tank, and acts as the positive electrode. This method has a number of advantages and disadvantages. Advantages: 1)Since aluminium (or more reactive metals) cannot be extracted by simple physical methods.The invention of electrolysis allows us to obtain aluminium (and more reactive metal such as potassium) from the metal ores. 2)Some of extratcion which make use of electrolysis can also give out some useful substances apart from the metal. For example, extracting aluminium can also produce oxygen gas. Disadvantages: 1)Very expensive 2)Waste energy(electricity)"
435,R.C.,"New information When an electric current is passed through the molten mixture of NaCl and CaCl2, NaCl decomposes in to Na+ and Cl- ion. Na+ ions migrate towards cathode while Cl- ions towards the anode. The molten sodium collects in the cathode compartment where it rises to the top and is tapped off by a pipe. Chlorine is collected at the anode. Fused NaCl contains sodium and chloride ions. 2NaCl --> 2Na+ + 2Cl- At cathode: Na+-ions migrate to cathode where they are reduced to Na. 2Na+ + 2e- --> 2Na (Reduction) At anode: Cl--ions migrate to anode and oxidised to form chlorine gas. 2Cl- --> Cl2 + 2e- (Oxidation) Overall reaction: 2Na+ + 2e- --> 2Na 2Cl- --> Cl2 + 2e- __________________ 2Na+ + 2Cl- --> 2Na + Cl2"
436,S.F.,"Sea water mainly contain sodium chloride. When sea water is electrolysed, hydrogen is formed in cathode while chlorine is formed in anode. At cathode: 2e- + 2H+ -> H2 At Anode: 2Cl- -> Cl2 + 2e-"
437,A.L.,"Obtaining a uniform thickness with electroplating can be difficult depending on the geometry of the object being plated. The plating metal is preferentially attracted to external corners and protrusions, but unattracted to internal corners and recesses. These difficulties can be overcome with multiple anode or a specially shaped anode that mimics the object geometry, however both of these solutions increase cost."
438,H.N.,"Putting our knowledge together Yes, I agree with you. We have learnt this in Ch.12. The electrolyte suggested by the book is dilute sulphuric acid. Working principle H+ and Al3+ are attracted to the cathode. However, H+ is more preferentially discharged, so hydrogen gas is produced at the cathode. O2- and SO4 2- are attracted to the anode. HOwever, O2- is more preferentially discharged, so oxygen is produced at the anode."
439,S.F.,Chemical equation At anode:2Al+3H20-> Al2O3 + 6H+ + 6e- At cathode: 6H+ +6e- -> 3H2 Overall equation: 2Al+ 3H2O -> Al2O3 + 3H+
440,R.C.,"New information Conditions such as electrolyte concentration, acidity, solution temperature, and current must be controlled to allow the formation of a consistent oxide layer. Harder, thicker films tend to be produced by more dilute solutions at lower temperatures with higher voltage and current."
441,S.F.,I need to understand Why do these conditions allow to produce a thicker oxide layer?
442,A.L.,"Relate the process to rusting,there are conditions which facilitate the rusting process, like humindity, ionic substances nearby, and high temperature. Forming oxide layer on aluminium is similar to rusting- i think similar conditions enables formation of thicker oxide layer."
443,H.N.,"Actually I don't quite understand your theory. IS it only metals that are lighter than iron can be changed to other metals by adding protons and neutrons. How about if the metal is heavier than iron? If it is the case, does it mean that lead cannot be turned to gold?"
444,A.L.,"I remember when i was small, i watched a tv program rfom national geographic, about the big bang.(http://www.youtube.com/watch?v=VekDpf3sIco&feature=related) Originally the universe is made up of pure energy, and later on the first element -hydrogen formed. However, due to the unstable enviroment, other elements or easily formed my combining protons and neutrons so as to make up that hundreds of element we have now. I think it's actually the similar idea. Like some of the elements in the periodic table, they are actually form or ""made"" by scientist under different pressure and condition. However, i think turning lead to gold is not quite possible in normal condition. At least, high technology is required."
445,M.L.,"My Theory I think that turning lead to gold is possible, but we do not have the technology. Moreover, even if we have the technology, we wouldn't do that as turning lead to gold is much much more expensive that buying pure gold itself. So, people didn't waste the energy and money to build up this technology. New information There are reports that Glenn Seaborg, 1951 Nobel prize reciever in Chemistry, succeeded in transforming a minute quantity of lead into gold. There is an earlier report (1972) in which Soviet physicists at a nuclear research facility accidentally discovered a reaction for turning lead into gold when they found the lead shielding of an experimental reactor had changed to gold. Website that talk about turning lead to gold http://chemistry.about.com/cs/generalchemistry/a/aa050601a.htm"
446,T.C.,"Michelle, People usually have their body hair being permanently removed, instead of applying to the hair on the head. But I think it does work when the hair on the head are being permanently removed."
447,p.J.,"My Theory PbBr2 in molten state should contain more delocolized e- because all e- are closely packed together in solid state, while in molten state, it didn't restrict its moving area by the shape anymore which will have more ions and e- for electrolysis. Chemical equation Pb2+ +2e- --> Pb 2Br- ---> Br2 + 2e- I need to understand I would like to ask whether the materials will be less then the original if we use electrolysis to get electricity from chemicals instead of using chemical cell? As the video showed us that Br- turns to bromine gas and will evaporates eventually, so does it mean that something will lose when we proceed electrolysis? then why chemical cell can have all materials stay in same amount as the original?"
448,p.J.,"My Theory I used another way to see that the volume ratio of hydrogen to oxygen produce in electrolysis of water is 2:1, but I'm not so sure about whether this method can work on other reaction as well. the half equation of formation of H2 and O2 : 2H+ + 2e- ----> H2 4OH- -----> O2 + H2O + 4e- As the half equation shows that we need 2e- to form one hydrogen but 4e- to form one O2, does it meams that the e- needed for forming O2 is twice of H2, so if they're being electolyzed at the same time, the H2 can form double of O2 because the time for getting enough e- is less than OH- to get enough e- to form oxygen."
449,R.C.,Potassium chloride must be heated until it is molten before it will conduct electricity. Electrolysis separates the molten ionic compound into its elements. 2K+ + 2e- --> 2K (potassium metal at the (-)cathode). 2Cl- - 2e- --> Cl2 (chlorine gas at the (+)anode). Potassium ions gain electron (reduction) to form potassium atoms. Chloride ions lose electron (oxidation) to form chlorine atoms. The chlorine atoms combine to form molecules of chlorine gas. The overall reaction is 2K+Cl-(l) --> 2K(s) + Cl2(g)
450,K.C.,"we can also anodize titanium, magnesium, zinc, niobium and tantalum."
451,R.C.,New information The ionic equations for the reactions occurring are: (i) for oxidation of ethanol to ethanal: Cr2O72- + 3C2H5OH + 8H+ Å® 2Cr3+ + 3CH3CHO + 7H2O (ii) for oxidation of ethanol to ethanoic acid: 2Cr2O72- + 3C2H5OH + 16H+ Å® 4Cr3+ + 3CH3COOH + 11H2O
452,R.C.,I have found a diagram on the internet which I think it might be useful.
453,J.K.,"My Theory I don't agree with you that the powder is dissolved in water, but instead I think it changes from solid state into molten state. When it is in molten state, electrolysis can be carry out."
454,E.M.,"I don't think the products will be the same. In the electrolysis of moletn lead(II) bromide, only bromine and molten lead can be formed. However, in the electrolysis of PbBr2(aq), Pb2+(aq) and H+(aq) will be attracted to the cathode and Br-(aq) and OH-(aq) will attach to the anode. At the cathode, as H+(aq) is more easily to be discharged than Pb2+(aq), hydrogen gas will be given out. Chemical equation 2H2O(l) + 2e- --> H2(g) + 2OH-(aq) At the anode, as OH-(aq) is more easily to be discharged than Br-(aq), oxygen will be released. Chemical equation 2H2O(l) --> O2(g) + 4H+(aq) + 4e-"
455,J.L.,other applications of the electrolysis of sea water: Hydrogen: - make ammonia - rocket fuel Chlorine: - make hydrochloric acid - sterilizing swimming water Sodium hydroxide: - make bleach - make soaps and detergents
456,J.K.,"A better theory The anode is positively charged, so it will attract negative ions. The only negative ions in te soultion is chloride ion and hydroxide ion. I think chloride ion isn't preferentially discharged at the anode, but instead is hydroxide ion. This is because hydroxide ion has a higher position than chloride ion in the electrochemical series."
457,K.K.,"However, from our recent discussion in class, hydroxide ions are preferentially discharged at the cathode instead of chloride ions. Hydroxide ion is higher in the ECS."
458,p.J.,"But I think Cl- should be the anions discharged in this case because there's onlt trace amount of OH- in the solution, so the time for discharge all the OH- is very fast and not much gas will form. And because all the OH- is discharged, so the Cl- will start to be discharged by electrolysis too. This is different from the case we discuss in class because anions mentioned in class is NO3- or sulphate which is held by convalent bond that the electrolysis is not strong enough to break the bond."
459,p.J.,I don't understand why we cannot get Na metal by electrolysis with NaCl(aq) but we can get it by electrolysis with NaCl(l)?
460,E.M.,"In the electrolysis of NaCl(aq), sodium ions and hydrogen ions are moved to the cathode whereas chloride ions and hydroxide ions are moved to the anode. At the cathode, as hydrogen ions has a higher ease of discharge at the cathode than sodium ions. Therefore, hydrogen gas is given of instead of sodium. Chemical equation 2H2O(l) + 2e- --> H2(g) + 2OH-(aq) At the anode, hydroxide ions has a higher tendency to discharge. Oxygen will then be released. Chemical equation 2H2O(l) --> O2(g) + 4H+(aq) + 4e- Because of this, the product will be oxygen and hydrogen, instead of sodium and chlorine. Therefore, the electrolysis of NaCl(aq) cannot obtain sodium metal"
461,R.N.,Here's a clip on the electrolysis on brine http://www.yenka.com/freecontent/item.action?quick=uh# i found it quite clear to explain the electrolysis of sea water.
462,p.J.,"In my own understanding,electroplating is to add an new layer of materials on an surface of an object which keep the boject away from water and oxygen and therefore corrosion can be avoided. I think the principle of electroplating is to separate the cations and anions contained in the solution through direct current,which we called this method electrolysis. The cations in the solution would be discharged when we proceed electrolysis and it will appear as solid or gas(e.g. H2 and Cu) which will stick on the surface of the elctrodes and form a layer on it if metals solid are formed, we call this method electroplating. In conclusion, the underlying principle for electroplating is to get the metal cations of solution and to dicharge the the metal cations in order to form metal covering on the elctrode. Let's take an example, we can use CuSO4(aq) as the electrolyte and we use Fe and Cu as the electrode,Fe is the object which need electroplating. By electrolysis, Cu2+ ions in solution will form Cu during the process of electrolysis because it was discharged. Cu is then stick on the surface of Fe electrode and formed a layer on it, and the Fe now has the electroplating of another metal on it which corrosion is being resisted because the layer block water and oxygen from getting contact with Fe. This method is different from displacing Cu on surface of Fe by displacement reaction because neither Fe gives up its e- nor the Cu get e- from other matal. The e- which Cu get is from the direct current that we passes electricity through the solution when proceeding electrolysis. Nitrate ions will not be discharged in the process because it was held together by covalent bond which is very hard to break it because we need a huge amount of enerygy to overcome the forces of the bond held between them. Chemical equation Cu2+ +2e- ----> Cu Observation By using CuNO3 and Fe for electrolysis in order to prevent corrosion of Fe, I think a brown solid layer will cover on the Fe surface at last when the process of electrolysis is completed."
463,R.K.,"Compare ""more informtaion"" from Rainbow 1 more information and ""Answer"" from Angie 2 Answer., Rainbow mentioned that lower temperature may allow a thicker layer, however, Angie mantioned the higher temperature is prefered as in the rusting process. Which one should be the correct one?"
464,R.K.,"I can see your point. However, does it relate to electrolysis? As I could not figure out its electrode nor the electrolyte."
465,J.K.,"I think there is nothing impossible in this world, it's just that our technology level nowadays still can't make this practical. After reading michelle's evidence, it seems to me that it's really possible, but I also agree that turning lead to gold is even more expensive than buying pure gold. But it seems to me there isn't much relation between this and our main theme, electrolysis. Can you give more working principle on this??"
466,R.K.,"Brine is an industrial noun is express concentrated NaCl solution. Use electrolysis in NaCl, Cl2 gas will be formed ion anode, and H2 gas will be formed on cathode. The solution will become NaOH. The three products are all useful in industry."
467,S.F.,"we can remove rust by electrolysis. Washing soda which contain sodium carbonate can be used as electrolyte. During electrolysis, water is oxided at the anode to form oxygen. the rusty iron and water will be reduced at the cathode. it is a simple, cheap and safe way to remove rust."
468,i.l.,I need to understand So far we come across several definitions of redox. I wonder whether you still remember them. Which definitions is more useful ? Are there limitations on each definition ? Which one do you prefer in identifying the redox ??
469,K.K.,"New information Lead acid battery can only store a small amount of energy per unit mass since they have a lower energy storage to mass ratio due to the high density of lead. Nevertheless, they have the advantages of both low cost and the ability to deliver high bursts of current needed to power a starter, making them a better choice for cars."
470,V.N.,My Theory I guess that there must be a reaction between lead (II) ethanoate and bromine gas that forms a black colour product. I need to understand It would be great if someone can find the chemical equation involved. (which I failed in searching for it)
471,V.N.,My Theory I agree with Jessica. Isn't the ECS of anions goes like: OH -> I -> Br -> Cl -> NO3 -> SO4 where NO3 and SO4 are almost never discharged. (Sorry I couldn't type the charge out. So imagine there are charges for the above anions :P) So it should be hydroxide ion that is preferentially discharged.
472,R.Y.,I need to understand Huh? Isn't that potassium is more preferentially discharged than Hudrogen?
473,S.F.,"no, potassium is not more preferentially discharge than Hydrogen . it is hydrogen ion which is more preferentially discharge than potassium ion. According to the ecs, hydrogen ion is a stronger oxidizing agent than potassium ion. That means it accept electron more easily than potassium ion. therefore, hydrogen ion is more preferentially discharge than potassium ion"
474,V.N.,"Referring to book 1B Pg. 201 The electrolysis of dilute or concentrated sodium chloride solution Working principle So far we are always working on the electrolysis of VERY dilute solution. And the products are mostly hydrogen gas and oxygen gas. It is said that whether a kind of ions is preferentially discharged is based on the order of discharge of cations and anions. I need to understand However, in this part of the chapter, it is said that the concentration of ions in the solution also affect the result of electrolysis. I would like to ask is it when diluted or concentrated solution is used, taking the book example, chloride ions must be of higher concentration than hydroxide ion? So choride ions are discharged instead? Basing on this theory, then why it is still hydrogen ions that are discharged at the cathode when there should be a high concentration of sodium ion? Would this be related to the distance between the two ions in their respective ECS? "
475,M.L.,"A lot of Apple gadgets, such as ipod shuffle(second generation) and ipod nano(second generation), have a variation of colored aluminium anodized casing for customer to choose."
476,R.Y.,"i think i could agree with you. Since i can find the same thing with you in some books... This is not a rumour, cherry it is true. New information There are reports that Glenn Seaborg, 1951 Nobel Laureate in Chemistry, succeeded in transmuting a minute quantity of lead (possibly en route from bismuth, in 1980) into gold. There is an earlier report (1972) in which Soviet physicists at a nuclear research facility near Lake Baikal in Siberia accidentally discovered a reaction for turning lead into gold when they found the lead shielding of an experimental reactor had changed to gold. Isn't this wonderful?"
477,R.Y.,Will it be allergic to patients suffering from ezecma (‡[ê]) and skin cancer?
478,R.Y.,"As we have learn in Chem redox reaction, the zinc carbon cell contains Manganese (IV) oxide to remove the H2 gas, But in Electrolysis of Brine(NaCl), It is said that H2 is a useful thing in industry. True or not?"
479,M.L.,My Theory We have learned electroplating in Unit 12. Electroplating can increse the appearace of the metal product--to be more attractive and more resistant to corrosion. Actually it is also a process of electrolysis. I will quote an example of electroplating of silver spoon. Chemical equation The anode is a silver bar and the cathode is an iron spoon. The electrolyte is silver nitrate. at anode: Ag(s)-->Ag+(aq) + e- at cathode: Ag+(aq) + e- -->Ag(s) The oxidation no. of Ag(s) increases from 0 to +1 i.e. oxidation occurs. Therefore it is at the anode. The oxidation no. of Ag+(aq) in the electrolyte decrease from +1 to 0 i.e. reduction occurs. Therefore it is at the cathode. overall: Ni(s) + Ni2+(aq) --> Ni(s) + Ni2+(aq) i guess overall eq is not often written for this..since it cannot show any changes 
480,K.K.,"My Theory When short circuit occurs in the dry cell in bad quality, the eletiric current is very high. It causes the rise of the temperature. It heats up the chemical in the dry cell and produces a large amount of gas. Then the gas causes the explosion due to high air pressure. There is a design of dry cell with a protective layer. When the chemical inside produces gas, it will come off, and the gas will release. However, dry cell in bad quality do not have this design and it causes the explosion."
481,M.L.,"My Theory When short circuit occurs in the dry cell in bad quality, the eletiric current is very high. It causes the rise of the temperature. It heats up the chemical in the dry cell and produces a large amount of gas. Then the gas causes the explosion due to high air pressure. There is a design of dry cell with a protective layer. When the chemical inside produces gas, it will come off, and the gas will release. However, dry cell in bad quality do not have this design and it causes the explosion."
482,K.C.,New information Porous pot is made from bone ash or clay. 
483,M.L.,"I don't agree with the student, as adding CO2 to Mg will cause a large among of light and heat, the magnesium fire will be more severe. I suggest covering the fire with sand,as it will block the Mg to contact with oxygen. But don't use water to put it out, as Mg+H2O will cause explosion."
484,R.Y.,"yes, sorry, i am wrong. Hydrogen is more preferentially discharge then potassium. "
485,T.C.,"The bauxite (red-brown solid) - aluminium oxide mixed with impurities - is extracted from the earth. The extracted aluminium oxide is then treated with alkali, to remove the impurities. This results in a white solid called aluminium oxide or alumina. The alumina is then transported to huge tanks. The tanks are lined with graphite, this acts as the cathode. Also blocks of graphite hang in the middle of the tank, and acts as anode. When dissolved, the aluminium ions and oxide ions in the alumina can move. At the cathode: Here the aluminium ions receive electron to become atoms again: 4Al 3+(l) + 12e- --> 4Al(l) At the anode: The oxide ions lose electron to become oxygen molecules, O2: 6O 2-(l) --> 3O2 (g)+ 12e-"
486,R.Y.,"As we all know that Sea water contains Sodium Chloride as the compuund. The things present are Na+, Cl-, H+, OH- Since the cathode attracts positive ions and the anode attracts negative ions. Those equations could be clearly seen. At the cathode: 2H+(aq) + 2e----> H2(g) At the anode: 2Cl-(aq)---> Cl2(g) + 2e- This can also be explainedas redox reactio"
487,p.J.,"My Theory I think H+ discharged instead of Na+ because Na is a very reactive metal that H+ is much more easily to be reduced than Na+,and it is also place lower than Na in ECS, so no matter how high the concentration is, H+ is always the one to be discharged. And for Cl- and OH-, I think because there's too little OH-, maybe all of the OH- are already discharged so the Cl- started to discharged too, Cl2 is the product found because the amount of OH- is not enough for producing and obvious formation of O2. Cl- is different from NO3- and SO4 because Cl- is only held by weak Van der Waals force while NO3 and SO4 is by convalent bond. So Cl- can also be discharged easily. But I know that there is an exceptional case, that is when we use mercury as electrode in electrolysis which the electrolyte contains Na+ ions, then Na+ will be the one discharged. I don't know much concerning about this, only know that it is related to a principle called ""like dissolve like"" (don't know what is it, the name is so strange -__-) "
